VideoCompletes,SocialLikes,SocialShares,conversion
205557,36,2,18
207344,37,2,206
229227,106,17,22
220639,105,17,30
216142,105,17,37
216902,105,17,0
216985,104,17,3
216981,104,17,236
224270,112,17,1
270702,112,17,110
275248,121,17,0
277858,121,17,13
258551,121,17,97
260411,130,17,3
263196,129,17,16
269031,128,17,191
281669,142,22,0
289172,148,22,32
269084,133,22,40
266594,135,22,0
269587,138,22,18
274830,138,22,130
280876,145,23,0
336626,146,23,28
328399,144,23,4
251766,144,23,20
247006,143,23,79
240462,146,22,8
241938,146,22,29
244744,141,22,354
260121,158,23,2
257467,159,23,73
239826,92,8,9
239626,98,9,0
239627,99,9,31
241590,99,9,132
246881,103,9,1
303302,107,9,13
300302,107,9,0
247495,110,9,13
239577,101,9,107
235940,115,13,0
236657,115,13,14
234624,107,13,274
248874,131,13,3
256318,134,13,21
240616,120,8,4
223825,116,8,0
223843,116,8,12
222615,114,8,162
223107,117,8,1
367624,117,8,11
366158,117,7,0
306968,117,7,22
301670,113,7,375
300498,119,7,0
306533,118,7,8
315779,112,6,256
328838,132,9,4
325631,133,9,107
308540,116,8,17
308286,136,8,0
310680,134,8,8
311796,128,7,50
316876,131,11,0
470164,131,11,23
468641,127,11,7
412871,127,11,26
408547,119,11,60
407246,117,11,0
407403,117,11,50
411036,104,7,280
426017,157,7,10
426879,156,7,1
414549,133,9,3
401253,161,9,1
401964,161,9,8
401964,159,9,127
403475,164,9,3
518286,164,9,16
518353,160,9,1
380123,165,9,19
374898,158,9,159
371728,161,9,3
372542,161,9,72
373777,157,9,290
368390,157,9,4
363748,160,9,2
349213,140,6,88
345565,139,6,0
348193,139,6,13
349044,117,6,137
343338,117,6,11
458297,117,6,4
455102,113,2,13
300484,114,2,28
298072,114,2,82
297421,110,2,1
297988,110,2,66
310128,109,2,262
321588,133,2,0
321225,133,2,21
305527,80,2,76
305153,81,2,2
300101,79,0,14
301986,48,0,172
299120,51,0,15
449208,51,0,25
452333,47,0,1
337571,47,0,9
339487,46,1,104
327957,44,1,0
328158,46,1,24
332826,42,1,294
343155,65,1,3
345545,65,1,10
349535,65,1,5
342812,64,1,0
346785,64,1,49
351565,64,1,87
348817,64,1,0
452609,64,1,22
456626,66,1,8
349068,66,1,22
347172,66,1,58
345642,70,1,0
345311,77,1,4
348471,77,1,196
364692,115,3,2
355945,117,3,22
345657,96,3,25
341649,98,3,1
342585,99,3,22
346006,98,3,128
346119,100,3,1
463939,101,3,8
469968,99,3,0
321251,99,3,16
317438,98,3,141
316910,107,3,0
314830,107,2,9
316583,104,2,228
330997,113,2,0
328329,113,2,35
317186,90,2,1
313450,90,2,0
312905,91,2,30
313322,89,2,128
309349,91,2,0
421726,92,2,25
440541,93,2,0
343696,97,2,44
338748,95,2,83
330231,97,2,4
340317,97,2,3
342864,92,2,104
351297,115,2,0
351498,116,2,20
334707,78,0,18
331314,81,0,0
331156,78,0,22
331416,75,0,131
330480,79,0,0
443045,79,0,5
462906,85,0,0
358533,84,0,6
352504,83,0,40
351220,94,0,0
350470,94,0,12
350474,85,0,87
361624,139,0,17
362241,139,0,11
348921,128,0,12
346921,140,3,0
354715,142,3,13
354715,140,3,68
350414,140,3,2
455638,140,3,11
475705,139,3,10
360121,138,3,43
348584,137,3,68
341016,147,3,0
342029,147,3,26
358205,145,3,141
363944,207,3,15
363150,213,3,10
354723,184,3,75
351588,190,3,0
351952,190,3,9
358151,186,3,61
357116,190,3,0
490419,190,3,61
510682,191,3,0
400356,191,3,77
380381,183,3,64
365049,187,3,5
366489,187,3,5
369618,178,3,86
382077,225,3,0
385745,225,3,14
372018,170,3,23
370314,170,3,30
372913,170,3,38
374266,159,0,179
375164,159,0,0
557873,161,0,62
571158,165,0,4
469708,165,0,16
