VideoCompletes,SocialLikes,SocialShares,CTR,conversion,AudienceType,AdDigitalChannel
33305.0,5.0,2.0,0.39797208451849225,2,Audience Type 5,Programmatic Display
28840.0,5.0,2.0,0.39612458996511535,0,Audience Type 5,Programmatic Display
22373.0,5.0,2.0,0.39331039466674284,1,Audience Type 5,Programmatic Display
22519.0,5.0,2.0,0.3903547586456648,0,Audience Type 5,Programmatic Display
25038.0,5.0,2.0,0.3865294379979142,10,Audience Type 5,Programmatic Display
24659.0,5.0,2.0,0.3817886849571072,4,Audience Type 5,Programmatic Display
26104.0,5.0,2.0,0.3795803279898166,3,Audience Type 5,Programmatic Display
29304.0,5.0,2.0,0.377466925927961,5,Audience Type 5,Programmatic Display
28830.0,5.0,2.0,0.3740494411219769,1,Audience Type 5,Programmatic Display
29953.0,5.0,2.0,0.3722191019273261,0,Audience Type 5,Programmatic Display
31131.0,0.0,0.0,0.3700137297397951,1,Audience Type 5,Programmatic Display
32354.0,0.0,0.0,0.36825952732645895,2,Audience Type 5,Programmatic Display
33739.0,0.0,0.0,0.36562939034015757,1,Audience Type 5,Programmatic Display
34725.0,0.0,0.0,0.36477028381094795,5,Audience Type 5,Programmatic Display
37206.0,0.0,0.0,0.36431778724818137,17,Audience Type 5,Programmatic Display
40784.0,0.0,0.0,0.36337335091048667,4,Audience Type 5,Programmatic Display
42793.0,0.0,0.0,0.35938029535493116,8,Audience Type 5,Programmatic Display
42877.0,0.0,0.0,0.3577655658713493,2,Audience Type 5,Programmatic Display
43350.0,0.0,0.0,0.3570380164040738,1,Audience Type 5,Programmatic Display
47160.0,0.0,0.0,0.35638405526804984,29,Audience Type 5,Programmatic Display
49801.0,0.0,0.0,0.35665432553832016,9,Audience Type 5,Programmatic Display
52403.0,0.0,0.0,0.35694639261953365,7,Audience Type 5,Programmatic Display
56029.0,0.0,0.0,0.3587742751521141,15,Audience Type 5,Programmatic Display
56371.0,0.0,0.0,0.3599002723275788,0,Audience Type 5,Programmatic Display
57724.0,0.0,0.0,0.36013148095936764,3,Audience Type 5,Programmatic Display
