VideoCompletes,SocialLikes,SocialShares,conversion,CampaignID,AdDigitalChannel
9840,1,0,26,2,Search
9014,0,0,64,2,Search
9333,3,0,142,2,Search
8873,3,0,120,2,Search
0,0,0,16,3,Search
0,0,0,62,3,Search
0,0,0,85,3,Search
0,0,0,56,3,Search
211,0,0,109,3,Search
449,0,0,32,3,Search
449,0,0,48,3,Search
1637,0,0,178,3,Search
4025,0,0,131,3,Search
3827,0,0,155,3,Search
3589,0,0,105,3,Search
3589,0,0,104,3,Search
2401,0,0,100,3,Search
14,1,0,98,3,Search
710,1,0,106,3,Search
710,1,0,142,3,Search
710,1,0,44,3,Search
710,1,0,99,3,Search
2651,0,0,143,3,Search
1942,0,0,122,3,Search
1942,1,0,126,3,Search
1942,1,0,143,3,Search
5489,1,0,152,3,Search
3575,4,0,62,3,Search
3575,4,0,220,3,Search
3919,3,0,187,3,Search
4703,4,0,133,3,Search
2058,4,0,253,3,Search
2030,1,0,146,3,Search
2030,1,0,135,3,Search
5454,1,0,164,3,Search
5020,0,0,182,3,Search
4854,1,0,181,3,Search
4863,1,0,0,3,Search
5741,1,0,18,3,Search
1973,2,0,105,3,Search
2220,2,0,29,3,Search
1781,4,0,46,3,Search
1935,4,0,34,3,Search
1854,4,0,67,3,Search
2152,3,0,44,3,Search
3298,3,0,55,3,Search
3001,0,0,116,3,Search
3542,0,0,94,3,Search
3193,0,0,93,3,Search
2895,0,0,42,3,Search
1909,0,0,31,3,Search
2130,0,0,8,3,Search
8810,0,0,24,3,Search
13150,0,0,66,3,Search
13150,0,0,122,3,Search
18837,0,0,49,3,Search
19169,0,0,37,3,Search
11785,1,0,38,3,Search
7604,7,0,27,3,Search
7604,8,0,39,3,Search
3462,8,0,33,3,Search
4222,8,0,75,3,Search
4231,7,0,66,3,Search
9538,1,0,74,3,Search
10184,0,0,72,3,Search
7994,0,0,50,3,Search
13689,2,0,100,3,Search
14860,2,0,89,3,Search
16176,3,0,68,3,Search
15530,3,0,50,3,Search
16759,5,0,41,3,Search
11549,3,0,67,3,Search
10370,3,0,70,3,Search
4067,7,1,111,3,Search
4692,7,1,131,3,Search
3351,5,1,59,3,Search
1992,5,1,38,3,Search
6655,5,1,89,3,Search
9337,0,0,70,3,Search
10430,0,0,75,3,Search
10430,0,0,65,3,Search
16694,0,0,88,3,Search
14342,0,0,123,3,Search
12833,0,0,139,3,Search
11164,0,0,181,3,Search
15290,0,0,218,3,Search
12606,0,0,133,3,Search
12007,0,0,72,3,Search
9907,0,0,157,3,Search
11095,0,0,65,3,Search
11539,0,0,176,3,Search
7540,0,0,117,3,Search
9963,0,0,123,3,Search
9963,1,0,86,3,Search
18812,3,0,111,3,Search
15249,3,0,115,3,Search
16100,4,0,135,3,Search
14677,4,0,26,3,Search
14677,3,0,117,3,Search
6004,1,0,126,3,Search
6161,1,0,47,3,Search
5290,0,0,45,3,Search
2755,0,0,71,3,Search
3495,0,0,162,3,Search
2825,3,0,83,3,Search
2289,5,0,45,3,Search
3206,5,0,111,3,Search
4415,5,0,88,3,Search
11802,5,0,64,3,Search
18095,2,0,68,3,Search
17470,0,0,61,3,Search
16657,0,0,60,3,Search
18282,0,0,88,3,Search
10155,0,0,77,3,Search
7117,1,0,55,3,Search
9984,1,0,79,3,Search
11022,1,0,92,3,Search
8048,1,0,94,3,Search
14658,1,0,8,3,Search
10660,0,0,236,3,Search
13033,0,0,130,3,Search
14751,0,0,132,3,Search
15192,0,0,162,3,Search
9698,0,0,50,3,Search
9698,0,0,127,3,Search
5476,0,0,137,3,Search
4501,0,0,172,3,Search
8802,0,0,87,3,Search
11749,0,0,128,3,Search
12166,0,0,128,3,Search
11405,0,0,131,3,Search
9520,0,0,68,3,Search
10939,1,0,61,3,Search
8229,2,0,179,3,Search
8315,2,0,102,3,Search
9108,2,0,64,3,Search
9347,5,0,81,3,Search
10637,4,0,17,3,Search
10251,4,0,71,3,Search
10418,4,0,179,3,Search
9365,4,0,111,3,Search
11448,1,0,73,3,Search
4400,5,0,52,3,Search
10664,4,0,75,3,Search
10000,4,0,146,3,Search
12408,4,0,67,3,Search
10101,4,0,141,3,Search
10790,0,0,91,3,Search
4056,2,0,96,3,Search
4652,3,0,93,3,Search
2244,3,0,38,3,Search
2686,4,0,186,3,Search
2368,6,0,62,3,Search
8416,4,0,207,3,Search
15022,4,0,396,3,Search
22497,6,2,605,3,Search
32483,5,2,526,3,Search
34369,3,2,269,3,Search
33410,3,2,369,3,Search
28308,2,2,418,3,Search
22444,1,0,730,3,Search
17817,1,0,656,3,Search
23475,1,0,731,3,Search
19637,3,0,521,3,Search
18978,3,0,448,3,Search
34996,2,0,430,3,Search
35515,2,0,957,3,Search
40636,5,0,571,3,Search
43553,5,1,588,3,Search
47758,6,1,348,3,Search
41367,6,1,265,3,Search
42582,7,1,301,3,Search
33642,6,1,358,3,Search
36569,4,0,275,3,Search
33775,4,0,449,3,Search
29044,7,0,430,3,Search
28284,8,0,268,3,Search
26396,6,0,440,3,Search
24194,7,0,210,3,Search
27209,7,0,384,3,Search
26006,6,0,417,3,Search
20732,4,0,805,3,Search
29580,6,0,929,3,Search
25906,5,0,797,3,Search
23239,7,0,541,3,Search
23296,5,0,289,3,Search
27437,7,0,268,3,Search
21788,6,0,858,3,Search
25495,6,0,612,3,Search
30141,5,0,724,3,Search
32459,7,0,660,3,Search
30097,5,0,719,3,Search
28814,4,0,252,3,Search
24907,4,0,401,3,Search
23008,3,0,446,3,Search
15521,1,0,658,3,Search
18722,1,0,563,3,Search
31238,3,0,1049,3,Search
49578,13,0,757,3,Search
55568,12,0,399,3,Search
63733,12,0,311,3,Search
57943,13,0,676,3,Search
52235,13,0,993,3,Search
43378,5,0,965,3,Search
35659,9,0,1077,3,Search
43497,9,0,808,3,Search
62540,9,0,473,3,Search
61165,8,0,536,3,Search
61125,7,0,693,3,Search
62172,6,0,517,3,Search
69104,7,0,794,3,Search
65079,6,0,790,3,Search
66335,6,0,884,3,Search
63058,9,0,377,3,Search
62654,8,0,644,3,Search
53559,11,0,867,3,Search
45817,11,0,771,3,Search
41513,12,0,581,3,Search
37195,8,0,741,3,Search
44933,15,0,826,3,Search
35244,11,0,712,3,Search
30233,11,0,516,3,Search
34898,10,0,639,3,Search
38255,11,0,715,3,Search
30547,2,0,934,3,Search
35121,4,1,1081,3,Search
0,0,0,9,4,Search
0,0,0,37,4,Search
0,0,0,50,4,Search
0,0,0,17,4,Search
2606,0,0,75,4,Search
2606,0,0,3,4,Search
8655,0,0,11,4,Search
8655,1,0,7,4,Search
8655,1,0,3,4,Search
