VideoCompletes,SocialLikes,SocialShares,conversion,CampaignID,AdDigitalChannel
247610,41,0,794,3,Search
261818,41,0,790,3,Search
261575,40,0,884,3,Search
267541,44,0,377,3,Search
269202,43,0,644,3,Search
277873,47,0,867,3,Search
280198,45,0,771,3,Search
281300,46,0,581,3,Search
279241,46,0,741,3,Search
283994,53,0,826,3,Search
280658,51,0,712,3,Search
280334,51,0,516,3,Search
287384,52,0,639,3,Search
292589,53,0,715,3,Search
291533,52,0,934,3,Search
300258,54,1,1081,3,Search
11673,1,0,4,4,Search
11673,1,0,2,4,Search
11673,1,0,1,4,Search
11673,1,0,5,4,Search
11673,1,0,35,4,Search
11673,1,0,17,4,Search
12057,1,0,35,4,Search
12057,1,0,14,4,Search
12067,1,0,1,4,Search
10297,1,0,17,4,Search
10297,1,0,2,4,Search
4248,1,0,1,4,Search
4544,0,0,3,4,Search
4544,0,0,5,4,Search
4544,0,0,9,4,Search
4544,0,0,3,4,Search
4544,0,0,0,4,Search
4532,0,0,7,4,Search
4579,0,0,9,4,Search
6049,0,0,4,4,Search
6049,0,0,0,4,Search
5619,0,0,23,4,Search
5619,0,0,17,4,Search
5568,0,0,1,4,Search
5568,0,0,8,4,Search
5667,0,0,1,4,Search
5667,0,0,6,4,Search
5667,0,0,20,4,Search
5246,0,0,0,4,Search
5054,0,0,27,4,Search
5054,0,0,0,4,Search
5064,0,0,3,4,Search
5064,0,0,19,4,Search
6223,2,0,7,4,Search
6223,2,0,17,4,Search
6223,2,0,6,4,Search
6230,2,0,4,4,Search
6230,2,0,28,4,Search
6220,2,0,0,4,Search
5384,2,0,1,4,Search
5384,2,0,4,4,Search
5384,2,0,0,4,Search
5088,2,0,5,4,Search
5091,2,0,12,4,Search
5098,2,0,1,4,Search
5095,2,0,0,4,Search
5095,8,0,0,4,Search
5099,8,0,1,4,Search
5052,8,0,73,4,Search
3582,8,0,0,4,Search
3871,8,0,0,4,Search
3877,8,0,4,4,Search
4078,8,0,3,4,Search
3839,8,0,0,4,Search
5237,8,0,4,4,Search
3469,10,0,3,4,Search
3469,10,0,3,4,Search
3478,10,0,0,4,Search
3478,10,0,5,4,Search
4079,10,0,0,4,Search
4079,10,0,0,4,Search
4069,10,0,0,4,Search
4069,10,0,0,4,Search
6068,8,0,0,4,Search
6068,8,0,3,4,Search
6868,8,0,15,4,Search
6477,8,0,0,4,Search
6481,8,0,0,4,Search
6502,8,0,10,4,Search
6502,8,0,4,4,Search
6502,8,0,24,4,Search
6587,8,0,0,4,Search
6587,8,0,1,4,Search
6596,8,0,7,4,Search
6589,8,0,6,4,Search
9854,8,0,7,4,Search
9854,2,0,38,4,Search
9850,2,0,2,4,Search
9850,2,0,1,4,Search
9850,2,0,0,4,Search
9561,2,0,58,4,Search
9555,2,0,5,4,Search
9354,2,0,1,4,Search
9353,2,0,19,4,Search
12792,2,0,16,4,Search
12792,0,0,2,4,Search
12896,0,0,3,4,Search
12887,0,0,0,4,Search
14652,0,0,0,4,Search
14051,0,0,2,4,Search
14051,0,0,10,4,Search
14051,0,0,5,4,Search
14052,0,0,82,4,Search
13322,0,0,45,4,Search
13322,0,0,40,4,Search
12522,0,0,22,4,Search
12522,0,0,15,4,Search
12518,0,0,14,4,Search
12497,0,0,13,4,Search
12856,1,0,9,4,Search
12856,1,0,20,4,Search
12771,5,0,34,4,Search
12771,5,0,24,4,Search
12759,5,0,7,4,Search
12759,5,0,176,4,Search
9494,5,0,32,4,Search
